date,time_symmetry,scale_symmetry,gauge_symmetry,gauge_signed,price_asymmetry
2017-03-23,0.03275403600692527,52884.12954327959,59474.5386402751,127.45203747507048,-80.3553466796875
2017-04-06,0.03349721689282557,51988.359380683876,56707.823779820996,159.6290866415195,-139.461669921875
2017-04-20,0.03456607697743265,49278.57003999392,54027.61977668357,-676.3895635185818,-183.7412109375
2017-05-04,0.037270282070233106,46415.4315900314,49745.31432126782,-193.60891237027954,-23.1165771484375
2017-05-18,0.03289637371777171,48498.02397175486,52873.993435511744,-646.6520659080484,63.325439453125
2017-06-01,0.031217026846044993,53441.41938704752,58570.75384807111,-132.38043999750403,87.409423828125
2017-06-15,0.03491804282957572,50888.49556262055,58620.72157798313,285.4535603428651,7.204345703125
2017-06-29,0.04090811831874366,49928.68373044028,58330.51817405791,189.96448298455834,115.8717041015625
2017-07-13,0.04173180842604768,54174.98814206495,62449.25524604857,-525.6503269600985,101.7471923828125
2017-07-27,0.03998938311682536,60197.99363388277,69420.29468803243,456.3531911452467,158.469970703125
2017-08-10,0.03642397751698736,59775.71971153504,67465.82926365561,-208.8420358946073,63.62890625
2017-08-24,0.03424177849885505,59909.39833888867,67500.28024367962,-66.87773399159414,-23.7481689453125
2017-09-07,0.032302156054459026,57830.68175914345,64922.31556079737,-617.8505949519345,-48.8201904296875
2017-09-21,0.036227755931909626,55649.82553814416,62142.658239961,555.2530432478502,-1.27099609375
2017-10-05,0.03476900706144217,60073.55127524287,67349.31008136559,-398.1936940020646,42.1514892578125
2017-10-19,0.03568657433087806,57572.46018446851,67239.85868996926,465.5345874288564,-84.05615234375
2017-11-02,0.03636560049833688,55662.25786380392,67731.01396436302,432.89811822299066,-34.10546875
2017-11-16,0.03192816853573334,54874.96951394126,65920.12823376643,-876.2557934893957,1.5560302734375
2017-11-30,0.030660585105095096,58154.46090689665,65456.15345547749,168.01295165160082,-2.5545654296875
2017-12-14,0.03505483393785141,57468.582129796574,63773.07192283175,125.39623278174258,60.3173828125
2017-12-28,0.03340833583954994,59867.076032537625,65104.009256273435,-269.028847272702,-27.681396484375
2018-01-11,0.07452543600419916,62510.24338240711,69160.06549244205,559.7931540285504,71.9541015625
2018-01-25,0.11530320853553104,57957.05530745929,63898.62249592157,-294.51950003754337,165.9080810546875
2018-02-08,0.11090788328603172,55440.45245260167,59519.7669872212,113.97487176093227,-72.561279296875
2018-02-22,0.09657057446493623,50526.94225629981,53039.41187349117,-414.51056866607314,-370.990234375
2018-03-08,0.07998287730210128,46841.34305400608,47911.426633912204,-214.96015879198558,-188.982421875
2018-03-22,0.05758208521055431,47050.122975606544,50595.607895352165,-646.3019685205277,-103.4869384765625
2018-04-05,0.04558797837746262,46477.59000874177,49054.6525578432,340.83871289043645,-212.017578125
2018-04-19,0.03811631070891745,44395.81500149779,45658.24669696146,-829.8931776692834,-124.288818359375
2018-05-03,0.032390250072740524,44157.94907889511,44624.51802242124,102.30908415690419,-188.61328125
2018-05-17,0.026450444117154404,43923.81338534203,43115.91060638847,-45.67933212081698,-138.58251953125
2018-05-31,0.02935915759674756,42423.51774141864,40474.3562601443,-51.56645744069829,-9.16064453125
2018-06-14,0.03287975879183001,44504.8631213533,45403.292637546365,-163.71334255307875,-24.37451171875
2018-06-28,0.0382442140916534,44651.86250576147,47136.041300267985,-383.0816406970266,-129.536865234375
2018-07-12,0.03296502131364257,44933.07231237148,50066.52143736396,546.1055991011399,-150.02734375
2018-07-26,0.02763370012258781,43485.35076467697,47575.13482733904,-174.4017016522639,69.3232421875
2018-08-09,0.03362882908300015,43438.8741425843,46369.429017932096,-3.031202873293296,97.168212890625
2018-08-23,0.029700768976416755,42096.75962274376,44153.88113669389,286.3078517972722,56.078857421875
2018-09-06,0.030422965239904766,39795.20855473555,42934.22194690627,206.54672783786646,-61.491943359375
2018-09-20,0.0343224915889791,39688.271148982036,41701.71482507522,340.3345073493879,-64.416015625
2018-10-04,0.03279194841428961,40764.511416237234,41799.822676100244,327.30378206352407,-61.84228515625
2018-10-18,0.03549124326316577,39761.67502343715,39264.10738016921,262.3676085620941,-102.861572265625
2018-11-01,0.03814691402588655,39134.76397039094,37477.50367961504,162.01778377380924,-141.218994140625
2018-11-15,0.03779865612196074,40711.92045935799,36990.373472853484,614.6653199034586,-102.00146484375
2018-11-29,0.03460403174655423,39580.134797311846,36107.04988004532,187.42584885689985,-236.16552734375
2018-12-13,0.038078956571141506,39750.97119075703,37296.7695886807,252.2248043928439,-114.22998046875
2018-12-27,0.035571377376310984,43643.240575163676,40001.00213150758,99.2327602541477,-178.07763671875
2019-01-10,0.04531432468213166,48818.810313295646,46820.22340466491,101.60803724551033,-153.383544921875
2019-01-24,0.07854618621537197,51140.17505559603,50808.700138052634,426.8757164684157,-157.866455078125
2019-02-07,0.1124866584025771,56001.45695299786,56480.01572151893,225.96526119481268,-148.49267578125
2019-02-21,0.12198252323380616,54145.88794585467,55964.46759104617,772.7491255970467,-97.1982421875
2019-03-07,0.12179868101596716,54038.30036956332,55814.12378423949,-101.66332224875396,90.1728515625
2019-03-21,0.10583288522562669,54801.97097502574,56789.90740749228,-149.4053185846533,183.215576171875
2019-04-04,0.08098850923451673,53520.60261497556,54175.472452911126,-60.55442031499706,176.977294921875
2019-04-18,0.06096603177092236,54745.450693867235,53953.88098965486,-590.4801862755412,21.262939453125
2019-05-02,0.046761899935427564,54699.841115659554,52911.16709038915,-144.04345021574136,23.015380859375
2019-05-16,0.03867466186180883,53713.43922760459,53405.682823103925,13.368838241853155,57.56201171875
2019-05-30,0.034245920765452104,52175.361605026985,51332.3621013949,-380.85174544995107,-17.7791748046875
2019-06-13,0.03410351990402498,52447.9973448986,54773.93030742988,-27.431600960865126,-33.471923828125
2019-06-27,0.04495750283188436,56431.024595581854,60637.78697748762,680.1582997414394,-234.65185546875
2019-07-11,0.04312832218787141,53936.32884904785,58925.360503162316,-32.271857406422896,-143.352294921875
2019-07-25,0.03011098486937498,51077.94187724954,56816.61552477796,204.68754213315412,-54.7401123046875
2019-08-08,0.03806448702155713,51744.056277072,55731.62210322468,-88.25274362907999,66.34521484375
2019-08-22,0.04430337459284171,56831.16104872167,58051.143527176464,212.16240437789997,56.1915283203125
2019-09-05,0.045917894182178655,54793.26780320029,57081.04859875412,370.03707054611573,-92.2572021484375
2019-09-19,0.04287743853418664,51489.50452044945,56528.42557197264,9.998859779732129,-130.21728515625
2019-10-03,0.03986060054222773,49894.78132344237,56176.67470467579,-801.0274616433422,-5.711669921875
2019-10-17,0.038257884638015174,51179.89592664405,59606.08959308153,-429.6674454161805,158.64202880859375
2019-10-31,0.03122695488602261,54802.07425894568,61739.3255948927,77.72449767609612,103.9578857421875
2019-11-14,0.030268070866984315,52985.03798245797,58561.99897147935,677.7626497259126,-156.5782470703125
2019-11-28,0.02780789220271849,52803.88674620958,59321.21647165295,448.994980909671,-171.7159423828125
2019-12-12,0.02736345555222943,55048.97361762627,59889.89726015371,-391.5137282234281,-148.2685546875
2019-12-26,0.03597761073555117,56240.26766260329,59519.66067242826,184.0225780445997,58.2379150390625
2020-01-09,0.03519747438809848,58866.267012364886,63387.63677870278,-1584.4813498526073,355.8306884765625
2020-01-23,0.04968728707721356,59434.06965439633,65364.18270457693,-1417.0981578238554,432.053955078125
2020-02-06,0.04443345475800904,59882.696056055356,64330.86150738792,-1159.6674244290316,482.1446533203125
2020-02-20,0.05008924702206309,59192.22459935915,64916.8935080702,-1138.939659056363,341.6573486328125
2020-03-05,0.05176224965002016,59862.299194892985,68592.94132830005,-1047.580822743064,336.472900390625
2020-03-19,0.046994186747954546,59432.10188277905,68835.69791866661,148.94202867696413,290.3287353515625
2020-04-02,0.05297255624515627,58225.03124038424,68023.7862371532,-69.53411556482752,175.274169921875
2020-04-16,0.06305339999360851,57678.978447804475,69828.42264766817,-733.2506493672026,293.736572265625
2020-04-30,0.07059259716008764,54903.72391477904,67020.7210795177,-1383.4478798022606,162.470947265625
2020-05-14,0.06367481392121178,54199.56929390659,65774.27577942,-1227.6417496042882,81.2421875
2020-05-28,0.06002789767356603,51511.53318508783,64225.98260646949,-578.656146790162,105.8092041015625
2020-06-11,0.049240378504676045,49349.20696641389,61361.93901220144,72.87110380310332,-12.1954345703125
2020-06-25,0.051572851797734215,46618.49948901085,56040.28310497709,-8.742713830184584,-23.432861328125
2020-07-09,0.051076062553276874,46377.55622264476,60663.34438787332,-79.41247917055489,-42.870361328125
2020-07-23,0.04592144293217334,46847.41646704894,57843.02459802285,-346.09622202999617,52.1458740234375
